column,dtype,missing_values,unique_values
question_id,int64,0,95636
title,str,0,95634
body,str,22,95606
tags,str,0,64632
tag_count,int64,0,5
programming_language,str,0,25
categories,str,23892,521
creation_date,str,0,95502
creation_year,int64,0,6
creation_month,int64,0,12
creation_weekday,int64,0,7
last_activity_date,str,0,95556
view_count,int64,0,2708
score,int64,0,64
answer_count,int64,0,17
comment_count,int64,0,1
favorite_count,int64,0,1
is_answered,bool,0,2
has_accepted_answer,bool,0,2
accepted_answer_score,int64,0,60
has_code,bool,0,2
code_block_count,int64,0,68
title_word_count,int64,0,33
title_char_count,int64,0,143
body_word_count,int64,0,766
body_char_count,int64,0,3097
difficulty_score,float64,0,499
quality_score,float64,0,447
owner_reputation,int64,0,7308
owner_badge_count,int64,0,1
first_response_time_seconds,float64,29208,38432
first_response_time_hours,float64,29208,38432
top_answer_score,int64,0,72
top_answer_body_length,int64,0,3318
