,count,mean,std,min,25%,50%,75%,max
question_id,95636.0,78353576.12954327,2424297.222567536,64819704.0,78606563.75,79295860.5,79594181.25,79820507.0
tag_count,95636.0,3.282968756535196,1.1868658700600085,1.0,2.0,3.0,4.0,5.0
creation_year,95636.0,2024.1756660671713,1.0383296228176044,2020.0,2024.0,2024.0,2025.0,2025.0
creation_month,95636.0,6.504809904220168,3.4282658317438734,1.0,3.0,7.0,10.0,12.0
creation_weekday,95636.0,2.6646242000920157,1.8560896583751934,0.0,1.0,3.0,4.0,6.0
view_count,95636.0,241.63247103601154,1963.4300109667554,2.0,63.0,97.0,175.0,317919.0
score,95636.0,0.710935212681417,1.9879277097593688,-18.0,0.0,0.0,1.0,195.0
answer_count,95636.0,0.9752917311472667,0.8871412214670015,0.0,0.0,1.0,1.0,16.0
comment_count,95636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
favorite_count,95636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accepted_answer_score,95636.0,0.7547157973984692,2.146323334221943,-6.0,0.0,0.0,1.0,278.0
code_block_count,95636.0,4.188297293906061,4.547144333617487,0.0,1.0,3.0,5.0,84.0
title_word_count,95636.0,10.408601363503283,4.166932949880265,1.0,7.0,10.0,13.0,33.0
title_char_count,95636.0,64.40590363461457,24.085011388518527,7.0,47.0,61.0,78.0,151.0
body_word_count,95636.0,116.4693420887532,84.16759063148848,0.0,62.0,96.0,146.0,2733.0
body_char_count,95636.0,665.482297461207,520.8694977543837,0.0,345.0,537.0,834.0,17924.0
difficulty_score,95636.0,0.20499997908737297,0.02687603121755492,0.001,0.201,0.203,0.209,0.993
quality_score,95636.0,0.8713278995357397,0.1292682105580163,0.3,0.7,0.9,1.0,1.0
owner_reputation,95636.0,2910.439593876783,15908.57718342083,0.0,19.0,93.0,845.0,1010847.0
owner_badge_count,95636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_response_time_seconds,66428.0,470463.62417956284,2880630.774479778,0.0,2252.0,9904.5,62539.75,100290686.0
first_response_time_hours,66428.0,130.68434004987859,800.1752151332718,0.0,0.6255555555555555,2.7512500000000006,17.372152777777778,27858.52388888889
top_answer_score,95636.0,1.1561127608850224,2.5360128715929457,-6.0,0.0,0.0,2.0,278.0
top_answer_body_length,95636.0,372.9343970889623,591.1626794209008,0.0,0.0,193.0,489.0,21783.0
